ID1,ID2,ID3,Kt,theta0
219,156,142,63.0000,1.9216
219,156,164,63.0000,1.9391
219,210,162,35.0000,2.0909
220,175,129,50.0000,2.1276
220,175,199,38.0000,2.0665
220,186,154,70.0000,2.0351
220,186,205,80.0000,2.1014
221,190,138,80.0000,2.1450
222,180,146,38.0000,2.0665
222,180,183,35.0000,2.0909
223,225,168,35.0000,1.9111
224,200,137,80.0000,2.1014
225,223,167,70.0000,2.0420
227,237,190,63.0000,1.9391
227,237,214,80.0000,1.9146
229,185,144,63.0000,1.9216
229,185,166,35.0000,1.9111
229,214,178,35.0000,2.0909
230,218,172,37.5000,1.9321
230,218,202,37.5000,1.9321
231,253,200,35.0000,2.0909
232,227,169,33.0000,1.8815
233,206,177,70.0000,2.0420
233,206,211,70.0000,2.0420
233,259,203,37.5000,1.9321
235,228,173,35.0000,2.0944
237,190,138,70.0000,2.0351
237,190,221,80.0000,2.1014
237,214,178,38.0000,2.0665
237,214,229,50.0000,2.1276
237,227,169,37.5000,1.9321
237,227,232,37.5000,1.9321
238,244,181,80.0000,2.1450
239,268,225,37.5000,1.9321
240,274,234,33.0000,1.8815
241,187,143,35.0000,2.0665
241,187,182,35.0000,2.0944
242,184,140,37.5000,1.9321
242,184,179,33.0000,1.8815
242,184,195,33.0000,1.8815
244,181,127,50.0000,2.1276
244,181,192,35.0000,2.0909
245,248,182,35.0000,2.0944
246,171,145,80.0000,2.1450
246,171,146,70.0000,2.0351
247,256,196,33.0000,1.8815
248,182,136,70.0000,2.0944
248,182,187,70.0000,2.0944
249,189,160,33.0000,1.8815
249,189,164,37.5000,1.9321
249,189,191,33.0000,1.8815
250,185,144,80.0000,1.9146
250,185,166,37.5000,1.9321
250,185,229,63.0000,1.9391
251,287,250,37.5000,1.9321
252,183,153,80.0000,2.1014
252,183,180,70.0000,2.0351
252,213,165,37.5000,1.9321
252,213,197,37.5000,1.9321
253,200,137,70.0000,2.0351
253,200,224,80.0000,2.1450
255,225,168,33.0000,1.8815
255,225,223,35.0000,1.9111
256,281,227,58.3500,1.9670
257,272,243,38.0000,2.0665
259,233,188,37.5000,1.9321
259,233,206,63.0000,1.9391
259,295,258,37.5000,1.9321
260,265,213,70.0000,2.0420
261,268,225,63.0000,1.9391
261,268,239,35.0000,1.9111
262,229,185,80.0000,2.1014
262,229,214,80.0000,2.1450
263,273,210,80.0000,1.9146
263,286,254,37.5000,1.9321
264,290,246,35.0000,1.9111
265,213,165,35.0000,1.9111
265,213,197,35.0000,1.9111
265,213,252,63.0000,1.9391
267,273,210,63.0000,1.9216
267,273,263,63.0000,1.9391
268,225,168,37.5000,1.9321
268,225,223,63.0000,1.9391
268,225,255,37.5000,1.9321
268,261,208,80.0000,2.1014
269,252,183,35.0000,1.9111
269,252,213,37.5000,1.9321
271,284,228,70.0000,2.0944
272,243,198,35.0000,1.9111
272,243,217,35.0000,1.9111
273,210,162,38.0000,2.0665
273,210,219,50.0000,2.1276
273,263,207,37.5000,1.9321
273,267,204,80.0000,2.1014
274,307,250,58.3500,1.9670
275,246,171,35.0000,2.0909
278,223,167,80.0000,2.1991
278,223,225,70.0000,2.0420
279,219,156,80.0000,2.1014
279,219,210,80.0000,2.1450
281,227,169,37.5000,1.9321
281,227,232,37.5000,1.9321
281,227,237,58.3500,1.9670
281,256,196,37.5000,1.9321
281,256,247,37.5000,1.9321
282,233,188,33.0000,1.8815
282,233,206,35.0000,1.9111
282,233,259,37.5000,1.9321
283,286,254,37.5000,1.9321
283,286,263,58.3500,1.9670
284,228,173,35.0000,2.0944
284,228,235,35.0000,2.0944
284,271,215,35.0000,2.0944
285,281,227,37.5000,1.9321
285,281,256,37.5000,1.9321
286,263,207,37.5000,1.9321
286,263,273,58.3500,1.9670
286,283,226,37.5000,1.9321
287,250,185,58.3500,1.9670
287,250,216,37.5000,1.9321
289,256,196,33.0000,1.8815
289,256,247,33.0000,1.8815
289,256,281,37.5000,1.9321
290,246,171,50.0000,2.1276
290,246,275,38.0000,2.0665
290,293,277,80.0000,2.1014
